,text,label,category,original_text,target
555,the latest in our #hurricaneirma live blog  deaths feared in keys  third construction crane falls,injured_or_dead_people,noneq_num,"The latest in our #HurricaneIrma live blog: Deaths feared in Keys, third construction crane falls",0
556,hurricane matthew  scenes of destruction in haiti  at least 26 people killed  including 22 in haiti  as power,injured_or_dead_people,noneq_num,"RT @Steven_kent29: Hurricane Matthew: Scenes of destruction in Haiti: At least 26 people killed, including 22 in Haiti, as power",0
557,wow  some serious roading damage  #kaikoura #southisland #nz #nzquake,infrastructure_and_utility_damage,eq_nonnum,"RT @jimimac_alf: Wow, some serious roading damage! #Kaikoura #SouthIsland #NZ #nzquake",0
558,breaking  greek officials say wildfires death toll has exceeded 60 people as a state of emergency is declared near athens  4follow the events live here,injured_or_dead_people,noneq_num,Breaking: Greek officials say wildfires death toll has exceeded 60 people as a state of emergency is declared near Athens. ὓ4Follow the events live here:,0
559,greek fire brigade says the number of people who have been killed in wildfires near athens has risen to 79,injured_or_dead_people,noneq_num,RT @SkyNewsBreak: Greek fire brigade says the number of people who have been killed in wildfires near Athens has risen to 79,0
560,i was sleeping and i woke up because i felt like i was floating  but my leg was actually in water  a cyclone in mozambique is feared to have killed more than 1 000 people,injured_or_dead_people,noneq_num,"I was sleeping and I woke up because I felt like I was floating. But my leg was actually in water. A cyclone in Mozambique is feared to have killed more than 1,000 people",0
561,the death toll from yesterdays earthquake in #mexico has risen to 225   is working around the clock to save lives,injured_or_dead_people,eq_num,The death toll from yesterdays earthquake in #Mexico has risen to 225. @CruzRoja_MX is working around the clock to save lives.,1
562,wind funneling around the buildings of miami and storm surge from earlier this afternoon #irma,other_relevant_information,noneq_nonnum,Wind funneling around the buildings of Miami and storm surge from earlier this afternoon #Irma,0
563,sending prayers to the people of ecuador  so was there last august for work  devastated by the pics were seeing,sympathy_and_support,eq_nonnum,RT @Daisy_Prescott: Sending prayers to the people of Ecuador. SO was there last August for work. Devastated by the pics we’re seeing.,0
564,#tmxfamily   we are all behind each and every family member effected by #hurricaneharvey,other_relevant_information,noneq_nonnum,#TMXFamily - we are all behind each and every family member effected by #HurricaneHarvey.,0
565,update  233 confirmed dead after ecuadors 7.8 magnitude earthquake  more live updates here  ht,injured_or_dead_people,eq_num,RT @telesurenglish: UPDATE: 233 confirmed dead after Ecuadors 7.8 magnitude earthquake. More live updates here:  ht,1
566,latest numbers for sri lanka flood event    292 dead missing   150 injured   21 205 homes damaged destroyed   $197m econo,injured_or_dead_people,noneq_num,"RT @SteveBowenWx: Latest numbers for Sri Lanka flood event: - 292 dead/missing - 150 injured - 21,205 homes damaged/destroyed - $197M econo",0
567,the death toll unfortunately likely to change w enormity due to population size in all counties affected #harvey,injured_or_dead_people,noneq_num,@5228027s The death toll unfortunately likely to change w enormity due to population size in all counties affected #Harvey,0
568,heres how to help hurricane harvey victims   editorial,rescue_volunteering_or_donation_effort,noneq_nonnum,Heres how to help Hurricane Harvey victims | Editorial  |,0
569,can u help this link with a list of charities to help victims of the #earthquake in #mexico please,rescue_volunteering_or_donation_effort,eq_nonnum,@jenniferniven can u help RT this link with a list of charities to help victims of the #earthquake in #Mexico Please?,0
570,breaking update  five reported dead in flood ravaged houston #harvey,injured_or_dead_people,noneq_num,RT @statesman: BREAKING UPDATE: Five reported dead in flood-ravaged Houston  #Harvey,0
571,just in case anyones worried  for all those that heard about the earthquake in new zealand and are worried bout me  its okay  im alright  4,sympathy_and_support,eq_nonnum,"Just in case anyones worried, For all those that heard about the earthquake in New Zealand and are worried bout me. Its okay, Im alright, ὠ4",0
572,death toll in ecuador earthquake climbs as correa tours ravaged areas   wall street journal #c,injured_or_dead_people,eq_num,RT @colombiareports: Death Toll in Ecuador Earthquake Climbs as Correa Tours Ravaged Areas - Wall Street Journal  #c,1
573,greeces public order minister nikos toskas resigns in wake of the wildfires that killed at least 88 people  according to latest info  40 people with burn injuries remain hospitalized  #mati,injured_or_dead_people,noneq_num,"Greeces public order minister Nikos Toskas resigns in wake of the wildfires that killed at least 88 people. According to latest info, 40 people with burn injuries remain hospitalized. #Mati",0
574,better yet  donate $ to reputable charities and let them decide  #ecuador,rescue_volunteering_or_donation_effort,eq_nonnum,"RT @gracels: Better yet, donate $ to reputable charities and let them decide. #Ecuador",0
575,will provide $10 000 to  in support of wildfire relief efforts in #fortmcmurray  our thoughts ar,rescue_volunteering_or_donation_effort,noneq_nonnum,"RT @Lawson_Fdn: @Lawson_Fdn will provide $10,000 to @redcrosscanada in support of wildfire relief efforts in #FortMcMurray. Our thoughts ar",0
576,austin friends  as you know i am from puerto rico  the damage cause by hurricane maria has left the island in a,infrastructure_and_utility_damage,noneq_nonnum,Austin friends. As you know I am from Puerto Rico. The damage cause by Hurricane Maria has left the island in a,0
577,another earthquake this morning in mexico  so scary  what is going on  e,other_relevant_information,eq_nonnum,Another earthquake this morning in Mexico. So scary! What is going on? ὡE,0
578,organizing a donation drop spot in spring hill tn for #hurricaneirma and effected areas  more info to come,rescue_volunteering_or_donation_effort,noneq_nonnum,Organizing a Donation Drop spot in Spring Hill Tn for #HurricaneIrma and effected areas. More info to come. @JesseWithDC @CharlieDaniels,0
579,at least two killed following devastating earthquake in new zealand  but further casualties cannot be ruled out  says pm john key,injured_or_dead_people,eq_num,"At least two killed following devastating earthquake in New Zealand, but further casualties cannot be ruled out, says PM John Key",1
580,following a 7.8 magnitude earthquake in ecuador  1 000  volunteers from the ecuador red cross are providing aid,rescue_volunteering_or_donation_effort,eq_nonnum,"RT @RedCrossTalk: Following a 7.8 Magnitude earthquake in Ecuador, 1,000+ volunteers from the Ecuador Red Cross are providing aid. /",0
581,the death toll from #harvey was raised to 39 late thursday,injured_or_dead_people,noneq_num,The death toll from #Harvey was raised to 39 late Thursday.,0
582,president  where is the help for #ecuador  the earthquake has devastated a lot of the country,not_humanitarian,eq_nonnum,RT @littlecmg: President @BarackObama where is the help for #Ecuador? The earthquake has devastated a lot of the country.,0
583,earthquake death toll climbs to 225 in mexico as frantic search continues for survivors click below for full story,injured_or_dead_people,eq_num,Earthquake death toll climbs to 225 in Mexico as frantic search continues for survivors CLICK BELOW FOR FULL STORY,1
584,at least 49 killed as powerful earthquake rocks mexico,injured_or_dead_people,eq_num,At least 49 killed as powerful earthquake rocks Mexico,1
585,latest  at least 120 people killed and 368 wounded after 6.2 #italyearthquake,injured_or_dead_people,eq_num,RT @NBCNews: LATEST: At least 120 people killed and 368 wounded after 6.2 #ItalyEarthquake,1
586,ok  actually have packed a little bag in case of a quick escape  plus there is the wheelybin out back with our emergency supplies #eqnz,rescue_volunteering_or_donation_effort,eq_nonnum,"Ok, actually have packed a little bag in case of a quick escape. Plus there is the wheelybin out back with our emergency supplies #eqnz",0
587,students at   a club on campus called otago response team provides great training for emergency situations like #eqnz  join us in 2017,rescue_volunteering_or_donation_effort,eq_nonnum,"Students at @otago, a club on campus called Otago Response Team provides great training for emergency situations like #eqnz. Join us in 2017",0
588,striking satellite images show #fortmcmurray wildfires destruction,infrastructure_and_utility_damage,noneq_nonnum,RT @mashable: Striking satellite images show #FortMcMurray wildfires destruction,0
589,luis  i lost all my money in the earthquake in mexico    but please tell me theres still a way i can help puerto rico,rescue_volunteering_or_donation_effort,eq_nonnum,"Luis, I lost all my money in the earthquake in Mexico.. But please tell me theres still a way I can help Puerto Rico @IamLuisFigueroa",0
590,we appreciate all relief efforts from the community as a whole and love the response at this time  this is a great example of ubuntu and we will stand and be counted #cycloneidai,sympathy_and_support,noneq_nonnum,We appreciate all relief efforts from the community as a whole and love the response at this time. This is a great example of ubuntu and we will stand and be counted #CycloneIdai,0
591,hurricane harvey destroyed a lot of oil refineries in texas,other_relevant_information,noneq_nonnum,@chismosa__ Hurricane Harvey destroyed a lot of oil refineries in Texas,0
592,so proud of the houston mosques opening up for those displaced  #harvey,displaced_people_and_evacuations,noneq_nonnum,So proud of the houston mosques opening up for those displaced. #Harvey,0
593,my thoughts and prayers go all my italian friends on twitter and the italian nation  #prayforitaly italy earthquake  h,sympathy_and_support,eq_nonnum,RT @Barlowed_Silvia: My thoughts and prayers go all my Italian friends on Twitter and the Italian nation. #PrayforItaly Italy earthquake: h,0
594,that moment when they say to boil your water after you have already drunk non boiled water #eqnz xx,not_humanitarian,eq_nonnum,That moment when they say to boil your water after you have already drunk non boiled water #eqnz Xx,0
595,death toll in haiti rises past 800 after hurricane matthew,injured_or_dead_people,noneq_num,RT @The7Original: Death Toll in Haiti Rises Past 800 After Hurricane Matthew,0
596,quake kills 262 along devastated ecuador coast   pedernales  the death toll from ecuadors biggest earthquak,injured_or_dead_people,eq_num,Quake kills 262 along devastated Ecuador coast : PEDERNALES: The death toll from Ecuador´s biggest earthquak,1
597,the guardian  how the #wildfires spread a visual guide   more than 80 people have been killed after #greeces worst wildfire in a decade hit the small resort of #mati 18 miles east of #athens #,injured_or_dead_people,noneq_num,The Guardian: How the #wildfires spread – A visual guide | More than 80 people have been killed after #Greece’s worst wildfire in a decade hit the small resort of #Mati 18 miles east of #Athens  #Πυρκαγια,0
598,if one wants to live in a tropical paradise  one should expect to have a delay in the delivery of supplies  the ports are destroyed,infrastructure_and_utility_damage,noneq_nonnum,If one wants to live in a tropical paradise. One should expect to have a delay in the delivery of supplies. The ports are destroyed.,0
599,pray for srilanka death toll in #srilanka #floods rise to 126,injured_or_dead_people,noneq_num,RT @PrasenjitDas_: Pray For SriLanka Death toll in #SriLanka #floods rise to 126.,0
600,number of people confirmed dead after hurricane harvey  39 number of them mentioned by  on his texas visit  0 enough said,injured_or_dead_people,noneq_num,Number of people confirmed dead after Hurricane Harvey =39 Number of them mentioned by @realDonaldTrump on his Texas Visit =0 Enough Said!,0
601,waiting for help that never came  fla  nursing home where eight died after irma defends   the washington post,injured_or_dead_people,noneq_num,‘Waiting for help that never came’: Fla. nursing home where eight died after Irma defends - The Washington Post,0
602,you can support #mexico victims from you country with just one click   #earthquakemexico #earthquake #fuerzamexico,rescue_volunteering_or_donation_effort,eq_nonnum,@PayPal: you can support #MEXICO victims from you country with just one click! @topos #EarthquakeMexico #earthquake #FuerzaMexico,0
603,so sad  death toll up to 20  #ewvlive #harvey,injured_or_dead_people,noneq_num,So sad. Death toll up to 20. #EWVLive #Harvey,0
604,the death toll from an earthquake that flattened parts of central italy rose to 267 on friday  #italyearthquake,injured_or_dead_people,eq_num,The death toll from an earthquake that flattened parts of central Italy rose to 267 on Friday. #ItalyEarthquake,1
605,please help us raise money to benefit students and families affected by hurricane harvey  #lylelove,requests_or_urgent_needs,noneq_nonnum,Please help us raise money to benefit students and families affected by Hurricane Harvey. #LyleLove,0
606,please donate  any single dollar is useful now  #fuerzamexico here some options,rescue_volunteering_or_donation_effort,eq_nonnum,"RT @Danuxx: Please donate, any single dollar is useful now. #FuerzaMexico Here some options:",0
607,in pictures  massive earthquake kills 77 in #ecuador see all photos  gt  gt  #ecuadorearthquake,injured_or_dead_people,eq_num,RT @khaleejtimes: [IN PICTURES] Massive earthquake kills 77 in #Ecuador See all photos &gt;&gt;  #EcuadorEarthquake :,1
608,ecuador earthquake  ecuador in state of emergency after hundreds killed,injured_or_dead_people,eq_num,Ecuador Earthquake: Ecuador In State Of Emergency After Hundreds Killed,1
609,kardashians donate $500k to hurricane harvey relief efforts in houston,rescue_volunteering_or_donation_effort,noneq_nonnum,Kardashians Donate $500k to Hurricane Harvey Relief Efforts in Houston,0
610,rip to the 2 people that died in this mornings earthquake 4 #eqnz,injured_or_dead_people,eq_num,RT @BlueJohnXD: RIP to the 2 people that died in this mornings earthquake ὡ4 #eqnz,1
611,#harvey latest    official death toll  20   flooding in #beaumont and #portarthur   195k  asking for fema assistance,injured_or_dead_people,noneq_num,#Harvey latest: - Official death toll: 20 - Flooding in #Beaumont &amp; #PortArthur - 195k+ asking for FEMA assistance,0
612,a8 at least 77 dead  588 wounded in #ecuador earthquake  nbc  tremblement de terre equateur,injured_or_dead_people,eq_num,"἟A἟8 At least 77 dead, 588 wounded in #Ecuador earthquake (NBC) tremblement de terre Equateur",1
613,#harvey  violent floodwaters engulfed a van and six people are presumed dead  including four siblings aged six to 16,injured_or_dead_people,noneq_num,"#Harvey: Violent floodwaters engulfed a van and six people are presumed dead, including four siblings aged six to 16",0
614,for an official non beta version ios 11 is very unstable  could be the difference in these times of emergency in mexico earthquake,other_relevant_information,eq_nonnum,"@Apple For an official non beta version iOS 11 is very unstable, could be the difference in these times of emergency in Mexico earthquake.",0
615,in auckland  were presumably safe and sound  hope the rest of the country too despite inconvenience caused  #eqnz #tsunami,not_humanitarian,eq_nonnum,"In Auckland, were presumably safe and sound. Hope the rest of the country too despite inconvenience caused. #eqnz #Tsunami",0
616,the fire in athens greece unfortunately killed 90 people and distroyed 3000 houses,injured_or_dead_people,noneq_num,@FoxNews The fire in Athens Greece unfortunately killed 90 people and distroyed 3000 houses.,0
617,cyclone idai death toll in zimbabwe is now 31  expected to rise even further as more than 70 are still missing #zimbabwe #cycloneidai,injured_or_dead_people,noneq_num,"Cyclone Idai death toll in Zimbabwe is now 31, expected to rise even further as more than 70 are still missing #Zimbabwe #CycloneIdai",0
618,fearing deportation  immigrant flood victims make do on their own,other_relevant_information,noneq_nonnum,"Fearing deportation, immigrant flood victims make do on their own",0
619,tsunami sirens sounding from new brighton  family who live there are evacuating  mass evacuation now happening in christchurch  #eqnz,displaced_people_and_evacuations,eq_nonnum,"Tsunami sirens sounding from New Brighton, family who live there are evacuating. Mass evacuation now happening in Christchurch. #eqnz",0
620,italy earthquake  247 deaths  towns completely ruined #italyearthquake #amatrice now  on air,injured_or_dead_people,eq_num,"Italy earthquake: 247 deaths, towns completely ruined #ItalyEarthquake #amatrice now @ilario82 on air @RaiNews",1
621,new  death toll from earthquake in ecuador reached 233  1500  injured,injured_or_dead_people,eq_num,"NEW: Death toll from earthquake in Ecuador reached 233, 1500+ injured",1
622,the latest on last nights #ecuadorearthquake  death toll at 77  hundreds injured and 10 000 troops dispatched,injured_or_dead_people,eq_num,"RT @TwitterMoments: The latest on last nights #EcuadorEarthquake: Death toll at 77, hundreds injured and 10,000 troops dispatched.",1
623,turkish aid agencies reach cyclone hit #mozambique,rescue_volunteering_or_donation_effort,noneq_nonnum,RT @anadoluagency: Turkish aid agencies reach Cyclone-hit #Mozambique,0
624,the same cyclone that has killed more than 120 people in mozambique has brought much needed rain to some parts of zimbabwe  be grateful to god,injured_or_dead_people,noneq_num,The same cyclone that has killed more than 120 people in Mozambique has brought much needed rain to some parts of Zimbabwe. Be grateful to God!,0
625,new post  five dead after irma knocks out power to nursing home,injured_or_dead_people,noneq_num,New post: Five Dead After Irma Knocks Out Power To Nursing Home,0
626,first tx  then fl  now puerto rico  in less than 24 hours   is back at it helping hurricane #maria victims  unbelievable teamwork,other_relevant_information,noneq_nonnum,"First TX, then FL, now Puerto Rico. In less than 24 hours, @atlasoil is back at it helping hurricane #Maria victims. Unbelievable teamwork!",0
627,five people dead at florida nursing home after irma knocks out power,injured_or_dead_people,noneq_num,Five People Dead At Florida Nursing Home After Irma Knocks Out Power,0
628,death toll from #wildfire in #mati reaches 91   #greecewildfires,injured_or_dead_people,noneq_num,"RT @amna_newseng: Death toll from #wildfire in #Mati reaches 91 , #greecewildfires",0
629,all my thoughts and prayers go to italy 6  hoping europe pulls together quickly now  #italyearthquake #italy,sympathy_and_support,eq_nonnum,All my thoughts and prayers go to Italy Ὁ6. Hoping Europe pulls together quickly now. #ItalyEarthquake #Italy,0
630,at least 60 buildings collapsed or were significantly damaged from the earthquake in mexico city,infrastructure_and_utility_damage,eq_nonnum,At least 60 buildings collapsed or were significantly damaged from the earthquake in Mexico City,0
631,psa  if youre taking photos of cracks from earthquake damage  always a good idea to have a ruler in the frame to provide scale,infrastructure_and_utility_damage,eq_nonnum,"RT @edufk: PSA: if youre taking photos of cracks from earthquake damage, always a good idea to have a ruler in the frame to provide scale",0
632,ecuador earthquake  death toll soars to 233 as government declares state of emergency,injured_or_dead_people,eq_num,RT @Daily_Express: Ecuador earthquake: Death toll soars to 233 as government declares state of emergency:,1
633,#terremoto earthquake took so many lives  a black day for the italian people,injured_or_dead_people,eq_num,RT @AzadiRojava: #Terremoto earthquake took so many lives. A black day for the Italian people.,1
634,update  death toll rises to 159 after italy quake  more than 360 injured  #italyearthquake,injured_or_dead_people,eq_num,"UPDATE: Death toll rises to 159 after Italy quake, more than 360 injured. #ItalyEarthquake",1
635,#irma update 5  its survival mode right now in usvi  people are hungry  communication spotty  homes in shambles,other_relevant_information,noneq_nonnum,#Irma update 5: It’s survival mode right now” in USVI. People are hungry; communication spotty; homes in shambles.,0
636,our thoughts are with everybody in new zealand following last nights earthquake,sympathy_and_support,eq_nonnum,RT @ALeague: Our thoughts are with everybody in New Zealand following last nights earthquake.,0
637,taking this as a sign and booking my one way ticket to melbourne already  c #earthquake #eqnz 21st january is the day,not_humanitarian,eq_nonnum,Taking this as a sign and booking my one way ticket to Melbourne already. ὡC✈️ #earthquake #eqnz 21st January is the day!,0
638,stone by stone this is #mexico #earthquake   #fuerzamxico like to help  fc paypal  donativos rescate topos org topos mx,requests_or_urgent_needs,eq_nonnum,@patravaliMX @VivoEnCancun @GuiaFoodieMx @ChocoFresaMG @AlaCartaQro @CancunMercadito @RivieraCancun @PlayaCarla @novedadesqroo @comoayudarmx STONE BY STONE This is #Mexico #earthquake . #FuerzaMéxico LIKE TO HELP? ὤFἿC❤️ Paypal: donativos@brigada-rescate-topos.org topos.mx @topos,0
639,death toll from #ecuadorearthquake now stands at 233 #terremotoecuador,injured_or_dead_people,eq_num,RT @JoshuaHoyos: Death toll from #EcuadorEarthquake now stands at 233 #TerremotoEcuador,1
640,hundreds dead after devastating major earthquake strikes ecuador #sanfrancisco,injured_or_dead_people,eq_num,Hundreds Dead After Devastating Major Earthquake Strikes Ecuador  #sanfrancisco,1
641,can u give a call out to anyone listening in new zealand  we having severe earthquakes and there are tsunami warnings,caution_and_advice,eq_nonnum,@RichieAllenShow can u give a call out to anyone listening in new Zealand. We having severe earthquakes and there are tsunami warnings,0
642,at least eight people dead  23 injured as hurricane irma roars over the #newie #world,injured_or_dead_people,noneq_num,"At least eight people dead, 23 injured as Hurricane Irma roars over the  #NewIE #World",0
643,#ecuadorearthquake earthquake  death toll jumps to 272  more than 2 500 injured,injured_or_dead_people,eq_num,"RT @trendstodayapp: #EcuadorEarthquake earthquake: Death toll jumps to 272; more than 2,500 injured",1
644,death toll in italy earthquake rises to 247  civil protection agency says  via   #italyearthquake #prayforitaly,injured_or_dead_people,eq_num,"Death toll in Italy earthquake rises to 247, civil protection agency says (via @AP) #ItalyEarthquake #PrayforItaly",1
645,for those looking to support charities aiding in the hurricane harvey relief efforts,rescue_volunteering_or_donation_effort,noneq_nonnum,For those looking to support charities aiding in the Hurricane Harvey relief efforts:,0
646,ecuador earthquake death toll jumps as daylight reveals scale of devastation,injured_or_dead_people,eq_num,RT @ReportUK: Ecuador earthquake death toll jumps as daylight reveals scale of devastation.,1
647,thanks associa family and donors whove helped contribute $100k to families affected by #hurricaneharvey,rescue_volunteering_or_donation_effort,noneq_nonnum,Thanks Associa family &amp; donors whove helped contribute $100K to families affected by #HurricaneHarvey.,0
648,shoutout to all emergency services  first responders  civil defence  volunteers and anyone else helping out  #eqnz,rescue_volunteering_or_donation_effort,eq_nonnum,"Shoutout to all emergency services, first responders, civil defence, volunteers and anyone else helping out! #EQNZ",0
649,assessment of damage from hurricane irma to cultural heritage underway    press,infrastructure_and_utility_damage,noneq_nonnum,Assessment of damage from hurricane Irma to cultural heritage underway -  (press,0
650,over 30 aftershocks registered so far this morning  in less than 3hrs since the 4:37am m7.1 off east cape  #eqnz #earthquake #newzealand,caution_and_advice,eq_nonnum,"Over 30 aftershocks registered so far this morning, in less than 3hrs since the 4:37am M7.1 off East Cape. #eqnz #earthquake #NewZealand",0
651,deadly italian quake strikes 40 kilometres from laquila #italyearthquake,other_relevant_information,eq_nonnum,RT @NatureNews: Deadly Italian quake strikes 40 kilometres from L’Aquila  #ItalyEarthquake,0
652,would you consider survivors from the earthquake in mexico  we need a lot of help  please  thank you   2dfc,requests_or_urgent_needs,eq_nonnum,@rodeneronquillo would you consider survivors from the earthquake in Mexico? We need a LOT of help. Please! Thank you!! ἟2἟D❤️ὤFἿC,0
653,latest two people killed related to hurricane harvey were electrocuted in standing water by a shed behind their house  death toll now at 39,injured_or_dead_people,noneq_num,Latest two people killed related to Hurricane Harvey were electrocuted in standing water by a shed behind their house. Death toll now at 39.,0
654,heard they found the body of missing national guard member eddison hermond  the 39 year old tried protecting others at a restaurant by holding doors closed during flash flooding in ellicott city maryland  swept away trying to find a womans cat,injured_or_dead_people,noneq_num,Heard they found the body of missing National Guard member Eddison Hermond. The 39-year old tried protecting others at a restaurant by holding doors closed during flash flooding in Ellicott City Maryland. Swept away trying to find a woman’s cat.,0
655,beyonc pledges to give hurricane harvey aid to hometown houston,rescue_volunteering_or_donation_effort,noneq_nonnum,Beyoncé pledges to give Hurricane Harvey aid to hometown Houston,0
656,we raised 3225 37 for the sri lanka floods but theres still more to be done and we are counting on your support,rescue_volunteering_or_donation_effort,noneq_nonnum,"We raised £3225,37 for the Sri Lanka floods but there’s still more to be done and we are counting on your support..",0
657,#houstonstrong  emotional news conference by  on the death of sgt  perez in #hurricaneharvey flooding,injured_or_dead_people,noneq_num,#HoustonStrong: Emotional news conference by @houstonpolice on the death of Sgt. Perez in #HurricaneHarvey flooding:,0
658,please my friends  pray for mexico 2d after this terrible earthquake of this night   248 deaths at 8 oclock am22 coeur,sympathy_and_support,eq_nonnum,"PLEASE MY FRIENDS, PRAY FOR MEXICO ἟2἟D after this terrible earthquake of this Night ! 248 deaths at 8 oclock amὢ2ὢ2@astacaneloὤFἿBmon coeur ♥️♥️",0
659,scorched remains  haunting images from a city destroyed by wildfire  new photos offer a haunting #ubertalks,infrastructure_and_utility_damage,noneq_nonnum,Scorched remains: Haunting images from a city destroyed by wildfire: New photos offer a haunting   #UberTalks,0
660,as #harvey leaves texas  houston shelters remain a lifeline for thousands w   and,other_relevant_information,noneq_nonnum,"As #Harvey leaves Texas, Houston shelters remain a lifeline for thousands  w/ @KiahCollier &amp; @neenareports",0
661,new earthquake shakes mexico city as death toll climbs to 305 #news,injured_or_dead_people,eq_num,New Earthquake Shakes Mexico City as Death Toll Climbs to 305  #news,1
662,#mozambiques lands and environment minister celso correia says 417 are now known to have died as a result of #cycloneidai but adds that the figure is expected to increase as the search and rescue operations continue  #sabcnews,injured_or_dead_people,noneq_num,#Mozambiques Lands and Environment Minister Celso Correia says 417 are now known to have died as a result of #CycloneIdai but adds that the figure is expected to increase as the search and rescue operations continue. #sabcnews,0
663,now the number of deaths went up to 233 e,injured_or_dead_people,eq_num,Now the number of deaths went up to 233 ὡE,1
664,whats happening  irma death toll rises  recovery cost soars by the associated press via nyt,injured_or_dead_people,noneq_num,RT @dariadiffe: WHATS HAPPENING: Irma Death Toll Rises; Recovery Cost Soars by THE ASSOCIATED PRESS via NYT,0
665,usa today world  death toll expected to rise in haiti after destructive hurricane matthew,injured_or_dead_people,noneq_num,USA Today World: Death toll expected to rise in Haiti after destructive Hurricane Matthew,0
666,death toll of #italyearthquake rised to 120  and counting  according to pm  who just had a meeting with searchandrescue team,injured_or_dead_people,eq_num,"Death toll of #ItalyEarthquake rised to 120. And counting, according to PM @matteorenzi who just had a meeting with search&amp;rescue team",1
667,earthquake in ecuador kills at least 235  injures more than 1500  this plus more in your 8am zedlines,injured_or_dead_people,eq_num,"RT @4zzznews: Earthquake in Ecuador kills at least 235, injures more than 1500. This plus more in your 8am Zedlines.",1
668,crops are not being spared #cycloneidai,infrastructure_and_utility_damage,noneq_nonnum,RT @nickmangwana: crops are not being spared #CycloneIdai,0
669,our deep and heartfelt condolences are with injured victims and families,injured_or_dead_people,eq_num,RT @drshaheengulrez: Our deep and heartfelt condolences are with injured victims and families,1
670,tomorrow mourning you will see the death in haiti from the hurricane #clintofoundation stole the relief money it on their hands,injured_or_dead_people,noneq_num,Tomorrow mourning you will see the death in Haiti from the Hurricane #clintofoundation stole the relief money it on their hands,0
671,update  ecuador president raises death toll from earthquake to 233 #ecuadorearthquake,injured_or_dead_people,eq_num,RT @BuzzFeedNews: UPDATE: Ecuador president raises death toll from earthquake to 233  #EcuadorEarthquake,1
672,all of the love and support shown by fellow canadians to the people affected by the fort mcmurray wildfire is truly heartwarming,sympathy_and_support,noneq_nonnum,All of the love and support shown by fellow Canadians to the people affected by the Fort McMurray wildfire is truly heartwarming.,0
673,cellphone video shows dramatic rescue of woman trapped under debris for more than 24 hours after mexico earthquake,rescue_volunteering_or_donation_effort,eq_nonnum,Cellphone video shows dramatic rescue of woman trapped under debris for more than 24 hours after Mexico earthquake,0
674,irma death toll on caribbean island of st  maarten raised to four after two bodies wash up on shore,injured_or_dead_people,noneq_num,Irma death toll on Caribbean island of St. Maarten raised to four after two bodies wash up on shore.,0
675,from the bottom of my heart  completely heartbroken  #greecefires are devastating with 74 deaths and 187 injured  i to god so heartbroken and watching news all afternoon made me cry and become more sensitive  this is truly heartbreaking and i feel like ive lost favorite things4,injured_or_dead_people,noneq_num,From the bottom of my heart. Completely heartbroken. #Greecefires are devastating with 74 deaths and 187 injured. I to God SO heartbroken and watching news all afternoon made me cry and become more sensitive. This is truly heartbreaking and I feel like I’ve lost favorite thingsὉ4,0
676,ecuador earthquake of 7.8 magnitude kills hundreds of people  not dozens #ecuadorearthquake #ecuador,injured_or_dead_people,eq_num,"Ecuador earthquake of 7.8 magnitude kills hundreds of people, not dozens  #EcuadorEarthquake #Ecuador",1
677,teaching activities for  mexico earthquake kills hundreds  trapping many under rubble by natalie proulx via nyt,injured_or_dead_people,eq_num,"Teaching Activities for: ‘Mexico Earthquake Kills Hundreds, Trapping Many Under Rubble’ by NATALIE PROULX via NYT",1
678,rescuers start block by block search of flooded houston  death toll surpasses 30,injured_or_dead_people,noneq_num,Rescuers start block-by-block search of flooded Houston; death toll surpasses 30,0
679,building in earthquake zones needs tough regulation  some of the buildings turned to dust,infrastructure_and_utility_damage,eq_nonnum,"@Rooney7555 @Reuters building in earthquake zones needs tough regulation, some of the buildings turned to dust.",0
680,omg earthquake and tsunami warnings  looks like i cant walk to work 5 stay safe everyone  a #fridaay,caution_and_advice,eq_nonnum,Omg Earthquake &amp; tsunami warnings. Looks like I cant walk to work ὠ5 Stay safe everyone! ὠA #fridaay,0
681,dire situation in #puertorico evokes #neworleans after #katrina  many died due to lack of aid in aftermath rather than storm itself  #maria,injured_or_dead_people,noneq_num,Dire situation in #PuertoRico evokes #NewOrleans after #Katrina: many died due to lack of aid in aftermath rather than storm itself. #Maria,0
682,please help mexico earthquake 7.1 destroyed different states of mexico at upto 200 deaths  #ayudacdmx #jojutla,injured_or_dead_people,eq_num,. @NikkiPhillippi Please help Mexico RT Earthquake 7.1 destroyed different states of Mexico at upto 200 deaths. #AyudaCDMX #Jojutla,1
683,please be in prayer for ecuador  there was a 7.8 earthquake on the coast yesterday  we are safe but so far 77 reported dead and 578 injured,injured_or_dead_people,eq_num,Please be in prayer for Ecuador. There was a 7.8 earthquake on the coast yesterday. We are safe but so far 77 reported dead and 578 injured.,1
684,#obamas response to haiti earthquake was far superior to  s response to #puertoricorelief sad  #maria,other_relevant_information,noneq_nonnum,#obamas response to Haiti earthquake was far superior to @realDonaldTrump s response to #PuertoRicoRelief sad !#Maria,0
685,another earthquake and more buildings fell down please keep donating to mexico,infrastructure_and_utility_damage,eq_nonnum,another earthquake and more buildings fell down please keep donating to mexico,0
